weather_id,airport_code,weather_date,temperature_celsius,wind_speed_kmph,visibility_km,storm_flag,precipitation_mm
W00000169,BLR,2026-06-18,29.0,39.5,13.1,false,0.9
W00000170,BLR,2026-06-19,26.5,22.7,15.2,false,6.2
W00000171,BLR,2026-06-20,26.1,16.2,7.9,false,2.2
W00000172,BLR,2026-06-21,26.1,50.2,16.1,false,4.5
W00000173,BLR,2026-06-22,21.1,36.0,16.1,false,5.8
W00000174,BLR,2026-06-23,22.7,5.8,16.8,false,2.2
W00000175,BLR,2026-06-24,21.1,25.4,6.6,false,0.1
W00000176,BLR,2026-06-25,30.0,4.0,8.3,false,4.9
W00000177,BLR,2026-06-26,29.4,38.7,17.6,false,4.4
W00000178,BLR,2026-06-27,11.1,11.0,7.3,false,5.6
W00000179,BLR,2026-06-28,29.0,20.1,14.5,false,3.6
W00000180,BLR,2026-06-29,29.0,24.7,16.1,false,3.4
W00000181,DEL,2026-01-01,31.3,30.4,17.6,false,5.8
W00000182,DEL,2026-01-02,30.1,44.5,9.7,false,3.8
W00000183,DEL,2026-01-03,17.5,42.5,17.2,false,4.2
W00000184,DEL,2026-01-04,33.7,7.3,8.6,false,0.3
W00000185,DEL,2026-01-05,35.1,13.8,17.6,false,5.1
W00000186,DEL,2026-01-06,31.1,11.8,11.0,false,5.0
W00000187,DEL,2026-01-07,20.7,25.8,2.9,true,74.5
W00000188,DEL,2026-01-08,23.2,17.4,16.6,false,4.5
W00000189,DEL,2026-01-09,33.7,8.0,10.8,false,2.5
W00000190,DEL,2026-01-10,27.7,8.6,15.2,false,2.5
W00000191,DEL,2026-01-11,14.9,17.4,15.0,false,4.6
W00000192,DEL,2026-01-12,17.1,46.1,6.9,true,68.6
W00000193,DEL,2026-01-13,27.4,6.9,17.8,false,6.4
W00000194,DEL,2026-01-14,39.9,19.9,6.9,false,2.5
W00000195,DEL,2026-01-15,22.7,8.2,12.1,false,6.8
W00000196,DEL,2026-01-16,26.2,35.7,7.2,false,0.0
W00000197,DEL,2026-01-17,21.8,20.7,18.3,false,1.8
W00000198,DEL,2026-01-18,21.3,33.5,18.5,false,3.5
W00000199,DEL,2026-01-19,34.5,23.2,9.1,true,50.1
W00000200,DEL,2026-01-20,26.9,46.2,8.9,false,3.7
W00000201,DEL,2026-01-21,22.4,46.1,12.7,false,6.5
W00000202,DEL,2026-01-22,37.0,42.3,10.5,false,1.0
W00000203,DEL,2026-01-23,24.1,25.7,5.6,true,47.0
W00000204,DEL,2026-01-24,24.3,40.7,9.0,false,1.4
W00000205,DEL,2026-01-25,32.7,34.2,15.7,false,1.8
W00000206,DEL,2026-01-26,30.0,3.2,6.6,false,5.1
W00000207,DEL,2026-01-27,24.8,17.5,8.4,false,5.1
W00000208,DEL,2026-01-28,27.1,52.1,16.5,false,3.0
W00000209,DEL,2026-01-29,29.6,10.1,14.8,false,4.7
W00000210,DEL,2026-01-30,29.7,33.2,11.2,false,5.8
W00000211,DEL,2026-01-31,32.4,35.4,12.0,false,4.7
W00000212,DEL,2026-02-01,26.5,54.6,10.1,false,5.8
W00000213,DEL,2026-02-02,18.1,6.1,14.1,false,2.3
W00000214,DEL,2026-02-03,38.0,15.3,12.4,false,2.4
W00000215,DEL,2026-02-04,31.0,25.7,8.6,false,5.5
W00000216,DEL,2026-02-05,34.8,42.5,9.9,false,2.7
W00000217,DEL,2026-02-06,26.2,36.8,8.9,false,3.9
W00000218,DEL,2026-02-07,32.4,32.3,10.9,false,5.4
W00000219,DEL,2026-02-08,38.9,40.7,16.5,false,6.1
W00000220,DEL,2026-02-09,24.7,14.6,8.1,false,6.7
W00000221,DEL,2026-02-10,29.1,25.7,8.4,false,0.9
W00000222,DEL,2026-02-11,9.0,19.5,19.4,false,6.0
W00000223,DEL,2026-02-12,41.4,31.4,17.9,false,0.5
W00000224,DEL,2026-02-13,20.9,23.2,16.1,false,3.6
W00000225,DEL,2026-02-14,20.1,25.0,19.7,false,4.9
W00000226,DEL,2026-02-15,30.8,19.2,12.3,false,2.4
W00000227,DEL,2026-02-16,11.0,5.5,16.3,false,0.1
W00000228,DEL,2026-02-17,10.7,16.0,5.4,true,52.8
W00000229,DEL,2026-02-18,38.1,28.5,16.6,false,1.3
W00000230,DEL,2026-02-19,11.5,5.4,6.5,false,0.6
W00000231,DEL,2026-02-20,35.8,35.2,17.0,false,6.6
W00000232,DEL,2026-02-21,27.1,52.4,14.7,false,2.5
W00000233,DEL,2026-02-22,26.1,17.0,7.3,false,3.2
W00000234,DEL,2026-02-23,30.7,34.4,16.1,false,5.1
W00000235,DEL,2026-02-24,35.3,5.9,1.5,true,48.5
W00000236,DEL,2026-02-25,28.7,28.2,13.7,false,6.7
W00000237,DEL,2026-02-26,38.7,48.3,1.1,true,30.7
W00000238,DEL,2026-02-27,27.6,33.7,15.1,false,6.8
W00000239,DEL,2026-02-28,29.9,19.8,19.7,false,0.0
W00000240,DEL,2026-03-01,17.8,40.7,7.6,false,3.5
W00000241,DEL,2026-03-02,21.6,35.4,2.6,true,62.2
W00000242,DEL,2026-03-03,27.1,52.0,10.1,false,1.9
W00000243,DEL,2026-03-04,20.2,7.0,18.0,false,5.3
W00000244,DEL,2026-03-05,34.9,6.5,14.9,false,2.3
W00000245,DEL,2026-03-06,35.9,8.0,19.4,false,0.1
W00000246,DEL,2026-03-07,27.3,20.3,10.6,false,0.4
W00000247,DEL,2026-03-08,44.3,26.7,9.9,false,1.5
W00000248,DEL,2026-03-09,32.3,15.5,10.0,false,4.9
W00000249,DEL,2026-03-10,27.3,4.5,11.1,false,6.9
W00000250,DEL,2026-03-11,28.1,43.9,9.7,true,33.1
W00000251,DEL,2026-03-12,18.4,4.1,11.8,false,0.5
W00000252,DEL,2026-03-13,36.1,7.9,14.7,false,2.3
W00000253,DEL,2026-03-14,24.1,15.0,2.7,true,31.1
W00000254,DEL,2026-03-15,28.4,33.5,14.2,false,6.8
W00000255,DEL,2026-03-16,32.3,53.7,7.6,false,0.9
W00000256,DEL,2026-03-17,45.1,45.4,9.5,false,3.9
W00000257,DEL,2026-03-18,29.1,33.5,15.0,false,3.0
W00000258,DEL,2026-03-19,31.0,31.5,15.6,false,0.5
W00000259,DEL,2026-03-20,20.5,19.5,8.9,false,1.0
W00000260,DEL,2026-03-21,53.2,42.4,14.6,false,6.3
W00000261,DEL,2026-03-22,43.8,39.8,12.5,false,5.1
W00000262,DEL,2026-03-23,40.6,7.4,11.8,false,1.6
W00000263,DEL,2026-03-24,22.9,44.1,17.0,false,1.4
W00000264,DEL,2026-03-25,37.9,48.6,2.1,true,71.3
W00000265,DEL,2026-03-26,31.0,39.8,10.6,false,1.0
W00000266,DEL,2026-03-27,26.4,52.7,18.4,false,3.5
W00000267,DEL,2026-03-28,24.4,53.1,7.2,false,1.3
W00000268,DEL,2026-03-29,35.8,37.3,17.9,false,5.1
W00000269,DEL,2026-03-30,42.5,41.3,18.5,false,3.0
W00000270,DEL,2026-03-31,34.1,25.7,16.7,false,3.6
W00000271,DEL,2026-04-01,24.4,8.4,13.0,false,0.0
W00000272,DEL,2026-04-02,19.9,23.4,14.6,false,1.7
W00000273,DEL,2026-04-03,33.3,27.2,4.6,true,38.8
W00000274,DEL,2026-04-04,38.5,5.4,8.0,false,3.5
W00000275,DEL,2026-04-05,40.3,24.8,8.1,false,4.3
W00000276,DEL,2026-04-06,26.1,35.0,10.8,false,0.4
W00000277,DEL,2026-04-07,25.5,45.3,13.7,false,0.2
W00000278,DEL,2026-04-08,27.6,45.4,10.4,false,4.1
W00000279,DEL,2026-04-09,15.4,29.4,9.0,false,3.0
W00000280,DEL,2026-04-10,29.6,39.0,5.1,true,62.6
W00000281,DEL,2026-04-11,30.0,10.4,6.3,false,3.9
W00000282,DEL,2026-04-12,29.2,15.7,10.4,false,6.5
W00000283,DEL,2026-04-13,25.4,10.6,9.6,false,6.9
W00000284,DEL,2026-04-14,22.4,19.9,16.8,false,1.9
W00000285,DEL,2026-04-15,31.3,40.0,19.6,false,3.2
W00000286,DEL,2026-04-16,23.8,23.2,7.5,true,41.4
W00000287,DEL,2026-04-17,35.3,26.0,13.6,false,6.8
W00000288,DEL,2026-04-18,23.7,15.5,4.4,true,69.7
W00000289,DEL,2026-04-19,24.8,37.5,14.6,false,4.6
W00000290,DEL,2026-04-20,25.3,14.1,12.6,false,0.2
W00000291,DEL,2026-04-21,26.4,13.3,12.6,false,6.7
W00000292,DEL,2026-04-22,25.6,7.0,8.1,true,70.3
W00000293,DEL,2026-04-23,23.8,40.7,17.1,false,3.2
W00000294,DEL,2026-04-24,35.6,43.8,9.6,false,5.9
W00000295,DEL,2026-04-25,12.4,35.5,17.5,false,1.7
W00000296,DEL,2026-04-26,35.0,32.0,12.3,false,1.5
W00000297,DEL,2026-04-27,29.6,7.9,8.3,false,5.4
W00000298,DEL,2026-04-28,21.7,27.5,7.7,false,4.9
W00000299,DEL,2026-04-29,20.3,18.3,10.8,false,2.9
W00000300,DEL,2026-04-30,24.3,36.3,12.2,false,1.9
W00000301,DEL,2026-05-01,21.5,38.6,12.3,false,2.9
W00000302,DEL,2026-05-02,34.9,20.9,13.4,false,3.9
W00000303,DEL,2026-05-03,27.9,40.2,17.9,false,3.9
W00000304,DEL,2026-05-04,12.8,49.3,6.5,false,6.5
W00000305,DEL,2026-05-05,25.9,21.5,20.0,false,2.8
W00000306,DEL,2026-05-06,26.0,16.2,11.1,false,2.7
W00000307,DEL,2026-05-07,49.9,43.8,7.2,false,1.8
W00000308,DEL,2026-05-08,31.0,26.0,18.4,false,3.9
W00000309,DEL,2026-05-09,31.5,24.8,15.8,false,0.1
W00000310,DEL,2026-05-10,29.0,20.2,12.5,false,2.3
W00000311,DEL,2026-05-11,33.7,40.5,6.7,false,4.6
W00000312,DEL,2026-05-12,29.1,48.4,17.5,false,3.8
W00000313,DEL,2026-05-13,38.9,16.1,7.6,false,4.5
W00000314,DEL,2026-05-14,19.3,22.5,18.4,false,0.3
W00000315,DEL,2026-05-15,26.6,20.6,12.7,false,5.1
W00000316,DEL,2026-05-16,37.4,18.9,8.0,false,3.0
W00000317,DEL,2026-05-17,36.4,6.5,11.8,false,5.6
W00000318,DEL,2026-05-18,40.3,50.6,10.9,false,1.2
W00000319,DEL,2026-05-19,15.2,43.6,7.4,false,2.6
W00000320,DEL,2026-05-20,25.2,54.0,8.0,false,4.8
W00000321,DEL,2026-05-21,30.4,27.3,13.0,false,1.9
W00000322,DEL,2026-05-22,17.7,25.6,8.6,false,4.1
W00000323,DEL,2026-05-23,22.6,26.1,15.8,false,6.3
W00000324,DEL,2026-05-24,24.3,47.0,6.0,true,8.8
W00000325,DEL,2026-05-25,26.2,23.8,14.0,false,2.1
W00000326,DEL,2026-05-26,38.8,51.7,13.1,false,4.8
W00000327,DEL,2026-05-27,34.8,51.5,12.3,false,5.8
W00000328,DEL,2026-05-28,25.4,40.1,11.3,false,5.5
W00000329,DEL,2026-05-29,23.5,31.7,4.4,true,64.1
W00000330,DEL,2026-05-30,33.2,15.3,13.3,false,0.1
W00000331,DEL,2026-05-31,29.6,31.0,19.1,false,2.5
W00000332,DEL,2026-06-01,27.5,33.2,15.7,false,3.8
W00000333,DEL,2026-06-02,33.4,12.3,16.4,false,3.8
W00000334,DEL,2026-06-03,20.9,9.9,10.7,false,2.7
W00000335,DEL,2026-06-04,19.5,49.8,13.3,false,2.9
W00000336,DEL,2026-06-05,24.4,43.6,13.2,false,1.8
W00000337,DEL,2026-06-06,19.1,3.7,3.4,true,37.0
W00000338,DEL,2026-06-07,25.2,12.6,9.3,false,5.2
W00000339,DEL,2026-06-08,42.1,29.2,7.0,false,1.0
W00000340,DEL,2026-06-09,4.7,11.3,8.8,false,1.0
W00000341,DEL,2026-06-10,30.1,30.2,11.4,false,2.2
W00000342,DEL,2026-06-11,34.9,3.5,16.4,false,5.5
W00000343,DEL,2026-06-12,40.5,35.0,6.8,true,58.9
W00000344,DEL,2026-06-13,25.8,54.2,17.1,false,3.0
W00000345,DEL,2026-06-14,28.4,29.3,17.1,false,0.4
W00000346,DEL,2026-06-15,17.6,27.1,16.7,false,2.0
W00000347,DEL,2026-06-16,23.6,14.0,13.9,false,5.0
W00000348,DEL,2026-06-17,28.4,10.2,11.1,false,3.8
W00000349,DEL,2026-06-18,22.9,45.5,16.9,false,7.0
W00000350,DEL,2026-06-19,27.6,50.6,17.3,false,1.0
W00000351,DEL,2026-06-20,18.8,7.8,18.0,false,4.0
W00000352,DEL,2026-06-21,42.7,28.0,10.1,false,1.2
W00000353,DEL,2026-06-22,30.1,3.8,19.3,false,1.4
W00000354,DEL,2026-06-23,20.8,18.0,9.7,false,2.7
W00000355,DEL,2026-06-24,29.0,42.8,18.7,false,5.2
W00000356,DEL,2026-06-25,17.5,47.6,4.1,true,45.3
W00000357,DEL,2026-06-26,23.9,17.8,19.6,false,6.9
W00000358,DEL,2026-06-27,37.5,9.9,17.6,false,2.4
W00000359,DEL,2026-06-28,29.1,9.6,12.6,false,5.6
W00000360,DEL,2026-06-29,26.5,53.7,19.1,false,1.8
W00000361,BOM,2026-01-01,25.7,52.3,15.8,false,3.3
W00000362,BOM,2026-01-02,22.4,26.9,15.4,false,4.6
W00000363,BOM,2026-01-03,31.7,11.7,13.8,false,2.6
W00000364,BOM,2026-01-04,35.6,4.0,19.4,false,6.0
W00000365,BOM,2026-01-05,26.7,33.4,4.0,true,69.6
W00000366,BOM,2026-01-06,20.0,31.3,19.6,false,5.2
W00000367,BOM,2026-01-07,20.7,27.7,9.4,false,5.3
W00000368,BOM,2026-01-08,33.0,50.5,15.1,false,7.0
W00000369,BOM,2026-01-09,20.6,37.5,19.0,false,4.3
W00000370,BOM,2026-01-10,32.3,32.7,7.2,false,4.2
W00000371,BOM,2026-01-11,28.4,20.4,8.7,false,3.2
W00000372,BOM,2026-01-12,21.8,6.9,10.3,false,2.9
W00000373,BOM,2026-01-13,19.4,15.7,9.7,false,3.9
W00000374,BOM,2026-01-14,18.5,17.0,15.4,false,6.4
W00000375,BOM,2026-01-15,29.6,49.6,14.2,false,4.5
W00000376,BOM,2026-01-16,19.6,33.5,5.1,true,16.7
W00000377,BOM,2026-01-17,14.8,54.0,11.5,false,0.5
W00000378,BOM,2026-01-18,33.5,18.8,15.6,false,2.0
W00000379,BOM,2026-01-19,13.7,22.1,10.0,false,6.5
W00000380,BOM,2026-01-20,31.0,53.0,14.8,false,5.7
W00000381,BOM,2026-01-21,23.6,3.9,15.0,false,3.0
W00000382,BOM,2026-01-22,29.5,54.4,18.6,false,2.8
W00000383,BOM,2026-01-23,25.7,16.1,9.1,false,1.4
W00000384,BOM,2026-01-24,19.0,24.0,11.3,false,5.3
W00000385,BOM,2026-01-25,25.5,35.6,10.9,false,6.3
W00000386,BOM,2026-01-26,23.4,50.8,9.6,false,2.5
W00000387,BOM,2026-01-27,15.0,38.6,17.1,false,6.9
W00000388,BOM,2026-01-28,28.3,8.4,2.5,true,64.7
W00000389,BOM,2026-01-29,22.5,18.4,8.7,false,0.8
W00000390,BOM,2026-01-30,35.8,16.7,6.1,false,3.6
W00000391,BOM,2026-01-31,31.8,10.1,12.7,false,1.6
W00000392,BOM,2026-02-01,35.3,31.7,13.5,false,4.4
W00000393,BOM,2026-02-02,28.7,36.1,9.5,true,70.7
W00000394,BOM,2026-02-03,34.4,38.3,8.5,false,1.9
W00000395,BOM,2026-02-04,31.8,31.9,7.5,false,1.3
W00000396,BOM,2026-02-05,18.7,24.6,6.1,true,38.8
W00000397,BOM,2026-02-06,35.8,28.7,12.6,false,5.9
W00000398,BOM,2026-02-07,38.4,9.2,15.6,false,6.8
W00000399,BOM,2026-02-08,27.8,33.5,1.3,true,16.1
W00000400,BOM,2026-02-09,26.9,43.5,13.2,false,6.0
W00000401,BOM,2026-02-10,30.4,23.8,8.9,true,21.7
W00000402,BOM,2026-02-11,19.8,35.2,8.4,false,0.6
W00000403,BOM,2026-02-12,36.4,35.4,17.5,false,5.7
W00000404,BOM,2026-02-13,29.3,37.2,18.1,false,0.4
W00000405,BOM,2026-02-14,26.3,39.5,16.9,false,5.8
W00000406,BOM,2026-02-15,26.3,46.5,14.4,false,3.6
W00000407,BOM,2026-02-16,37.9,16.3,14.2,false,2.8
W00000408,BOM,2026-02-17,33.9,42.1,18.6,false,3.9
