crew_roster_id,flight_id,aircraft_id,crew_id,crew_role,duty_start_time,duty_end_time,base_airport,duty_status
CR0000026,FL0000241,AC00039,CREW1410,Cabin Manager,2026-03-04 21:31:07,2026-03-05 08:53:07,SIN,Assigned
CR0000027,FL0001076,AC00026,CREW1055,Cabin Manager,2026-04-07 16:49:27,2026-04-07 21:37:27,JFK,Completed
CR0000028,FL0000319,AC00063,CREW1599,Cabin Crew,2026-04-26 18:17:23,2026-04-27 06:02:23,CCU,Completed
CR0000029,FL0000604,AC00047,CREW1525,Cabin Crew,2026-04-01 02:27:53,2026-04-01 13:48:53,SIN,Completed
CR0000030,FL0000389,AC00060,CREW1019,Cabin Crew,2026-05-27 22:19:04,2026-05-28 02:13:04,GOI,Sick Leave
CR0000031,FL0000730,AC00045,CREW1578,Maintenance Observer,2026-02-23 21:49:22,2026-02-24 03:19:22,JAI,Completed
CR0000032,FL0000191,AC00050,CREW1787,Cabin Crew,2026-03-22 16:36:02,2026-03-23 04:32:02,BKK,Completed
CR0000033,FL0000700,AC00013,CREW1066,Cabin Manager,2026-05-12 13:49:00,2026-05-12 22:30:00,HKG,Completed
CR0000034,FL0001230,AC00063,CREW1468,First Officer,2026-06-15 20:49:11,2026-06-16 09:32:11,YYZ,Completed
CR0000035,FL0000063,AC00012,CREW1154,First Officer,2026-06-13 13:19:11,2026-06-13 15:13:11,LHR,Completed
CR0000036,FL0001440,AC00040,CREW1345,Cabin Manager,2026-03-04 08:46:28,2026-03-04 14:45:28,LHR,Assigned
CR0000037,FL0000992,AC00063,CREW1524,First Officer,2026-05-16 22:34:26,2026-05-17 03:38:26,GOI,Completed
CR0000038,FL0000911,AC00062,CREW1703,First Officer,2026-03-20 10:09:45,2026-03-20 15:23:45,BBI,Completed
CR0000039,FL0001860,AC00049,CREW1426,Cabin Crew,2026-04-24 02:59:12,2026-04-24 05:06:12,DOH,Completed
CR0000040,FL0000455,AC00046,CREW1333,Captain,2026-05-30 14:52:21,2026-05-30 19:11:21,CCU,Completed
CR0000041,FL0000889,AC00063,CREW1017,First Officer,2026-01-09 19:26:13,2026-01-10 08:22:13,YYZ,Completed
CR0000042,FL0000164,AC00074,CREW1311,Captain,2026-05-02 17:38:37,2026-05-03 02:49:37,GOI,Assigned
CR0000043,FL0001572,AC00016,CREW1490,First Officer,2026-06-25 06:02:09,2026-06-25 18:37:09,AUH,Completed
CR0000044,FL0001687,AC00003,CREW1516,Cabin Crew,2026-05-27 22:01:34,2026-05-28 03:22:34,MEL,Completed
CR0000045,FL0001195,AC00070,CREW1156,Cabin Crew,2026-04-03 18:45:50,2026-04-04 05:32:50,BOM,Completed
CR0000046,FL0000186,AC00008,CREW1677,Captain,2026-03-22 13:47:17,2026-03-22 19:25:17,DEL,Assigned
CR0000047,FL0001922,AC00030,CREW1275,Cabin Crew,2026-03-27 08:26:59,2026-03-27 20:32:59,HKG,Assigned
CR0000048,FL0000810,AC00037,CREW1577,First Officer,2026-03-16 17:51:00,2026-03-16 22:36:00,GOI,Assigned
CR0000049,FL0001900,AC00047,CREW1339,Cabin Crew,2026-06-26 06:43:19,2026-06-26 16:39:19,IST,Completed
CR0000050,FL0001474,AC00012,CREW1631,Maintenance Observer,2026-02-19 10:26:19,2026-02-19 21:31:19,JFK,Completed
CR0000051,FL0000298,AC00015,CREW1477,First Officer,2026-04-21 06:28:21,2026-04-21 18:27:21,AMS,Assigned
CR0000052,FL0001481,AC00062,CREW1203,Captain,2026-02-02 05:49:49,2026-02-02 11:45:49,HYD,Standby
CR0000053,FL0000090,AC00030,CREW1726,First Officer,2026-01-02 23:06:49,2026-01-03 07:55:49,HKG,Assigned
CR0000054,FL0000725,AC00011,CREW1108,Maintenance Observer,2026-02-06 14:57:34,2026-02-06 18:48:34,ZRH,Completed
CR0000055,FL0001963,AC00039,CREW1525,Cabin Crew,2026-03-10 22:04:04,2026-03-11 09:12:04,NRT,Assigned
CR0000056,FL0001331,AC00012,CREW1209,First Officer,2026-03-19 15:08:53,2026-03-20 01:50:53,SFO,Completed
CR0000057,FL0000096,AC00072,CREW1743,First Officer,2026-03-27 14:04:10,2026-03-28 01:38:10,ZRH,Completed
CR0000058,FL0001418,AC00050,CREW1414,Maintenance Observer,2026-01-01 05:01:27,2026-01-01 08:01:27,YYZ,Completed
CR0000059,FL0000258,AC00056,CREW1405,Cabin Crew,2026-05-05 02:19:29,2026-05-05 08:32:29,JAI,Completed
CR0000060,FL0000684,AC00050,CREW1795,Cabin Crew,2026-06-29 01:19:12,2026-06-29 14:12:12,HKG,Completed
CR0000061,FL0001962,AC00072,CREW1026,First Officer,2026-05-05 04:53:52,2026-05-05 17:45:52,KUL,Assigned
CR0000062,FL0000379,AC00032,CREW1590,Maintenance Observer,2026-03-10 05:22:05,2026-03-10 14:45:05,MAD,Completed
CR0000063,FL0000080,AC00036,CREW1291,Cabin Crew,2026-02-26 20:58:47,2026-02-27 06:38:47,YVR,Assigned
CR0000064,FL0000224,AC00009,CREW1599,Cabin Manager,2026-06-10 07:50:07,2026-06-10 10:39:07,JFK,Assigned
CR0000065,FL0001475,AC00078,CREW1099,First Officer,2026-04-28 05:36:10,2026-04-28 10:15:10,PAT,Completed
CR0000066,FL0001867,AC00072,CREW1155,First Officer,2026-03-01 13:52:20,2026-03-01 17:45:20,IST,Completed
CR0000067,FL0001454,AC00041,CREW1753,Captain,2026-05-10 17:47:53,2026-05-10 20:52:53,MEL,Assigned
CR0000068,FL0000280,AC00004,CREW1640,Maintenance Observer,2026-02-01 07:00:56,2026-02-01 19:46:56,BOM,Standby
CR0000069,FL0000960,AC00014,CREW1560,Captain,2026-02-17 12:27:04,2026-02-17 14:36:04,BOM,Completed
CR0000070,FL0000605,AC00008,CREW1774,First Officer,2026-05-18 07:26:29,2026-05-18 18:53:29,FRA,Completed
CR0000071,FL0000225,AC00036,CREW1666,Cabin Crew,2026-04-06 21:18:55,2026-04-07 08:24:55,MEL,Completed
CR0000072,FL0001862,AC00042,CREW1220,Captain,2026-06-04 05:08:50,2026-06-04 11:22:50,COK,Completed
CR0000073,FL0000085,AC00052,CREW1601,Cabin Manager,2026-06-07 13:05:35,2026-06-07 17:36:35,JFK,Completed
CR0000074,FL0000004,AC00040,CREW1735,Cabin Manager,2026-05-15 03:17:29,2026-05-15 08:25:29,ZRH,Completed
CR0000075,FL0000328,AC00010,CREW1069,First Officer,2026-02-11 05:21:42,2026-02-11 09:17:42,GOI,Completed
CR0000076,FL0000953,AC00055,CREW1255,Cabin Manager,2026-06-26 08:20:34,2026-06-26 11:41:34,HYD,Completed
CR0000077,FL0000498,AC00030,CREW1203,Cabin Crew,2026-05-17 23:06:36,2026-05-18 08:39:36,YVR,Completed
CR0000078,FL0001413,AC00058,CREW1744,Cabin Crew,2026-05-03 07:19:21,2026-05-03 13:08:21,CCU,Completed
CR0000079,FL0000149,AC00008,CREW1396,Cabin Crew,2026-03-12 07:12:31,2026-03-12 18:25:31,JAI,Completed
CR0000080,FL0001474,AC00012,CREW1533,Cabin Manager,2026-02-19 10:26:19,2026-02-19 21:31:19,JFK,Completed
CR0000081,FL0001843,AC00015,CREW1640,Maintenance Observer,2026-03-24 06:29:35,2026-03-24 19:51:35,CCU,Completed
CR0000082,FL0001102,AC00068,CREW1617,Cabin Manager,2026-03-23 11:05:48,2026-03-23 17:55:48,SFO,Completed
CR0000083,FL0000942,AC00009,CREW1238,Cabin Crew,2026-01-02 21:45:02,2026-01-03 06:56:02,PAT,Completed
CR0000084,FL0000631,AC00018,CREW1045,Captain,2026-01-22 14:41:44,2026-01-22 20:21:44,COK,Completed
CR0000085,FL0000482,AC00063,CREW1102,First Officer,2026-02-17 01:09:07,2026-02-17 07:07:07,CDG,Completed
CR0000086,FL0001631,AC00056,CREW1577,Cabin Manager,2026-06-21 18:49:26,2026-06-22 03:07:26,YYZ,Completed
CR0000087,FL0000977,AC00076,CREW1148,Cabin Manager,2026-04-25 10:47:19,2026-04-25 13:57:19,MEL,Completed
CR0000088,FL0000853,AC00022,CREW1651,Cabin Manager,2026-06-13 05:08:54,2026-06-13 10:27:54,MAD,Completed
CR0000089,FL0001716,AC00057,CREW1474,Maintenance Observer,2026-01-13 07:20:51,2026-01-13 17:56:51,DEL,Completed
CR0000090,FL0001694,AC00004,CREW1530,Cabin Crew,2026-01-06 06:09:33,2026-01-06 09:33:33,FRA,Assigned
CR0000091,FL0000357,AC00028,CREW1495,Cabin Crew,2026-02-19 22:40:19,2026-02-20 03:49:19,COK,Completed
CR0000092,FL0001719,AC00002,CREW1509,Maintenance Observer,2026-03-19 16:43:41,2026-03-20 04:26:41,ORD,Completed
CR0000093,FL0001376,AC00066,CREW1304,Captain,2026-03-01 08:01:03,2026-03-01 16:13:03,FRA,Completed
CR0000094,FL0000852,AC00026,CREW1525,Maintenance Observer,2026-06-25 12:43:53,2026-06-25 21:54:53,MAD,Assigned
CR0000095,FL0001943,AC00020,CREW1504,Maintenance Observer,2026-06-12 00:58:22,2026-06-12 07:14:22,LHR,Completed
CR0000096,FL0001136,AC00002,CREW1326,Maintenance Observer,2026-06-12 00:33:42,2026-06-12 02:32:42,LHR,Completed
CR0000097,FL0000010,AC00005,CREW1073,First Officer,2026-04-10 19:06:53,2026-04-11 01:07:53,ZRH,Completed
CR0000098,FL0001154,AC00040,CREW1619,Maintenance Observer,2026-04-06 07:57:50,2026-04-06 17:03:50,SYD,Completed
CR0000099,FL0001078,AC00039,CREW1552,Maintenance Observer,2026-04-02 01:08:45,2026-04-02 06:40:45,MEL,Completed
CR0000100,FL0001442,AC00047,CREW1290,Cabin Crew,2026-02-23 07:45:08,2026-02-23 16:15:08,MAA,Sick Leave
CR0000101,FL0001034,AC00053,CREW1424,First Officer,2026-03-02 01:59:01,2026-03-02 10:42:01,BOM,Sick Leave
CR0000102,FL0000504,AC00064,CREW1104,First Officer,2026-05-19 15:22:56,2026-05-19 19:49:56,ZRH,Assigned
CR0000103,FL0000726,AC00002,CREW1379,Cabin Manager,2026-01-24 19:22:55,2026-01-25 02:13:55,CCU,Completed
CR0000104,FL0000613,AC00074,CREW1517,Cabin Manager,2026-02-10 05:00:03,2026-02-10 16:32:03,YVR,Assigned
CR0000105,FL0001778,AC00023,CREW1568,First Officer,2026-04-03 15:59:25,2026-04-04 02:17:25,DOH,Standby
CR0000106,FL0001131,AC00068,CREW1148,First Officer,2026-06-19 08:28:12,2026-06-19 20:58:12,PAT,Completed
CR0000107,FL0000570,AC00062,CREW1031,Cabin Manager,2026-03-12 22:35:35,2026-03-13 01:16:35,BLR,Completed
CR0000108,FL0000070,AC00067,CREW1621,First Officer,2026-01-19 13:20:34,2026-01-19 18:48:34,BOM,Completed
CR0000109,FL0001463,AC00012,CREW1598,Cabin Crew,2026-01-21 04:58:04,2026-01-21 14:41:04,PAT,Completed
CR0000110,FL0000570,AC00062,CREW1666,Maintenance Observer,2026-03-12 22:35:35,2026-03-13 01:16:35,BLR,Completed
CR0000111,FL0001294,AC00068,CREW1402,Cabin Crew,2026-02-22 23:14:37,2026-02-23 07:52:37,PNQ,Completed
CR0000112,FL0000232,AC00059,CREW1067,Maintenance Observer,2026-01-14 13:52:28,2026-01-15 00:08:28,SFO,Standby
CR0000113,FL0001877,AC00049,CREW1633,Maintenance Observer,2026-06-18 09:30:26,2026-06-18 21:07:26,LHR,Completed
CR0000114,FL0001704,AC00063,CREW1341,Cabin Manager,2026-02-12 22:08:28,2026-02-13 02:25:28,COK,Completed
CR0000115,FL0000696,AC00076,CREW1551,Cabin Crew,2026-04-09 21:51:08,2026-04-10 08:43:08,KUL,Completed
CR0000116,FL0000118,AC00070,CREW1104,Cabin Manager,2026-04-03 03:18:24,2026-04-03 13:31:24,DXB,Completed
CR0000117,FL0001847,AC00061,CREW1395,Captain,2026-04-27 15:52:45,2026-04-28 03:53:45,NRT,Completed
CR0000118,FL0000610,AC00046,CREW1025,Maintenance Observer,2026-04-26 18:48:08,2026-04-27 04:48:08,BBI,Completed
CR0000119,FL0000328,AC00010,CREW1129,Cabin Crew,2026-02-11 05:21:42,2026-02-11 09:17:42,GOI,Assigned
CR0000120,FL0001401,AC00064,CREW1723,First Officer,2026-05-20 02:56:03,2026-05-20 08:57:03,SFO,Completed
CR0000121,FL0000997,AC00070,CREW1324,Cabin Manager,2026-03-15 22:01:45,2026-03-16 04:14:45,MAD,Assigned
CR0000122,FL0001379,AC00075,CREW1800,Maintenance Observer,2026-01-09 21:14:58,2026-01-10 04:22:58,PAT,Completed
CR0000123,FL0000871,AC00022,CREW1459,First Officer,2026-04-23 22:10:06,2026-04-24 05:22:06,KUL,Completed
CR0000124,FL0001545,AC00008,CREW1033,First Officer,2026-02-16 04:44:25,2026-02-16 08:29:25,FRA,Completed
CR0000125,FL0000326,AC00043,CREW1338,First Officer,2026-02-25 13:15:29,2026-02-25 18:32:29,YYZ,Completed
CR0000126,FL0001342,AC00078,CREW1328,Cabin Manager,2026-03-24 12:10:36,2026-03-24 16:55:36,HKG,Completed
CR0000127,FL0001020,AC00043,CREW1574,Cabin Crew,2026-03-02 04:19:59,2026-03-02 09:59:59,AMS,Completed
CR0000128,FL0001696,AC00002,CREW1119,First Officer,2026-06-19 21:19:40,2026-06-20 07:51:40,SIN,Completed
CR0000129,FL0000773,AC00079,CREW1558,First Officer,2026-01-27 07:56:20,2026-01-27 12:36:20,YYZ,Completed
CR0000130,FL0000663,AC00045,CREW1767,Maintenance Observer,2026-06-13 22:36:02,2026-06-14 06:55:02,JFK,Completed
CR0000131,FL0001241,AC00024,CREW1329,First Officer,2026-05-19 16:09:21,2026-05-19 23:15:21,NRT,Completed
CR0000132,FL0001640,AC00002,CREW1018,Cabin Crew,2026-04-27 22:08:38,2026-04-28 08:01:38,MAA,Completed
CR0000133,FL0001566,AC00013,CREW1444,Cabin Crew,2026-02-27 20:17:34,2026-02-28 08:59:34,PAT,Standby
CR0000134,FL0000626,AC00013,CREW1636,Maintenance Observer,2026-01-27 10:23:49,2026-01-27 12:53:49,BKK,Completed
CR0000135,FL0001698,AC00017,CREW1478,First Officer,2026-05-01 17:22:27,2026-05-02 01:03:27,HYD,Assigned
CR0000136,FL0000241,AC00039,CREW1031,Cabin Manager,2026-03-04 21:31:07,2026-03-05 08:53:07,SIN,Completed
CR0000137,FL0000692,AC00055,CREW1620,Cabin Crew,2026-02-08 03:45:10,2026-02-08 08:31:10,LHR,Completed
CR0000138,FL0000852,AC00026,CREW1469,Maintenance Observer,2026-06-25 12:43:53,2026-06-25 21:54:53,MAD,Completed
CR0000139,FL0000971,AC00054,CREW1657,Captain,2026-01-07 14:06:38,2026-01-07 18:35:38,SIN,Assigned
CR0000140,FL0000270,AC00016,CREW1415,Cabin Manager,2026-04-23 10:21:31,2026-04-23 13:37:31,KUL,Completed
CR0000141,FL0001205,AC00018,CREW1259,Maintenance Observer,2026-02-25 17:58:27,2026-02-26 03:53:27,AUH,Completed
CR0000142,FL0001835,AC00049,CREW1020,Maintenance Observer,2026-01-01 22:31:45,2026-01-02 01:33:45,CDG,Standby
CR0000143,FL0000421,AC00041,CREW1091,First Officer,2026-06-15 10:05:10,2026-06-15 22:02:10,ZRH,Completed
CR0000144,FL0000331,AC00020,CREW1367,Cabin Manager,2026-05-03 22:48:46,2026-05-04 07:29:46,PAT,Completed
CR0000145,FL0000536,AC00018,CREW1788,First Officer,2026-06-09 03:31:35,2026-06-09 08:28:35,DEL,Completed
CR0000146,FL0000077,AC00070,CREW1361,Captain,2026-06-04 23:09:48,2026-06-05 11:49:48,MEL,Completed
CR0000147,FL0000421,AC00041,CREW1526,First Officer,2026-06-15 10:05:10,2026-06-15 22:02:10,ZRH,Completed
CR0000148,FL0000530,AC00005,CREW1789,First Officer,2026-03-21 02:49:27,2026-03-21 06:31:27,BLR,Completed
CR0000149,FL0000249,AC00067,CREW1523,Cabin Manager,2026-02-17 05:55:19,2026-02-17 16:56:19,BOM,Completed
CR0000150,FL0001603,AC00026,CREW1047,First Officer,2026-04-24 09:51:56,2026-04-24 13:29:56,SIN,Standby
CR0000151,FL0001248,AC00022,CREW1398,Captain,2026-05-04 13:37:46,2026-05-04 15:57:46,BKK,Completed
CR0000152,FL0001709,AC00039,CREW1364,Maintenance Observer,2026-01-13 08:13:24,2026-01-13 15:40:24,COK,Completed
CR0000153,FL0000034,AC00065,CREW1239,Captain,2026-03-06 22:05:55,2026-03-07 02:03:55,SIN,Completed
CR0000154,FL0001475,AC00078,CREW1544,First Officer,2026-04-28 05:36:10,2026-04-28 10:15:10,PAT,Assigned
CR0000155,FL0000740,AC00071,CREW1123,Captain,2026-01-22 16:10:23,2026-01-23 01:41:23,NRT,Completed
CR0000156,FL0001040,AC00008,CREW1567,Cabin Manager,2026-01-02 19:33:58,2026-01-02 22:11:58,BBI,Completed
CR0000157,FL0000591,AC00030,CREW1728,Cabin Manager,2026-03-12 15:22:22,2026-03-12 22:03:22,DEL,Completed
CR0000158,FL0000032,AC00012,CREW1079,Cabin Manager,2026-01-22 21:23:16,2026-01-23 07:00:16,FRA,Completed
CR0000159,FL0000784,AC00015,CREW1319,Cabin Crew,2026-02-20 20:51:40,2026-02-21 09:26:40,PNQ,Completed
CR0000160,FL0000888,AC00032,CREW1272,Cabin Crew,2026-06-16 21:21:49,2026-06-17 01:42:49,PAT,Completed
CR0000161,FL0001765,AC00054,CREW1645,Cabin Crew,2026-04-26 22:22:18,2026-04-27 00:07:18,PAT,Assigned
CR0000162,FL0000755,AC00070,CREW1048,Maintenance Observer,2026-01-20 07:15:57,2026-01-20 11:15:57,GOI,Completed
CR0000163,FL0001784,AC00023,CREW1673,Cabin Manager,2026-02-17 03:54:48,2026-02-17 14:13:48,YYZ,Completed
CR0000164,FL0000285,AC00014,CREW1157,Cabin Crew,2026-01-22 11:03:30,2026-01-22 18:34:30,BKK,Assigned
CR0000165,FL0000102,AC00026,CREW1403,Maintenance Observer,2026-04-11 07:52:46,2026-04-11 19:14:46,AUH,Assigned
CR0000166,FL0000308,AC00056,CREW1079,Captain,2026-06-01 04:02:52,2026-06-01 05:44:52,AMD,Completed
CR0000167,FL0001380,AC00068,CREW1124,Cabin Manager,2026-04-22 16:29:45,2026-04-23 03:51:45,LHR,Assigned
CR0000168,FL0001239,AC00034,CREW1650,Captain,2026-05-18 10:18:30,2026-05-18 19:35:30,BBI,Completed
CR0000169,FL0001778,AC00023,CREW1208,First Officer,2026-04-03 15:59:25,2026-04-04 02:17:25,DOH,Assigned
CR0000170,FL0001214,AC00026,CREW1733,Captain,2026-04-07 23:25:05,2026-04-08 02:03:05,SFO,Completed
CR0000171,FL0001067,AC00012,CREW1780,First Officer,2026-01-26 10:15:08,2026-01-26 20:51:08,PNQ,Completed
CR0000172,FL0000607,AC00009,CREW1781,Maintenance Observer,2026-03-18 13:53:41,2026-03-18 22:08:41,IXR,Completed
CR0000173,FL0001244,AC00076,CREW1419,Captain,2026-06-17 17:14:44,2026-06-17 22:17:44,ZRH,Completed
CR0000174,FL0001777,AC00072,CREW1504,Maintenance Observer,2026-02-07 05:25:03,2026-02-07 09:06:03,YYZ,Completed
CR0000175,FL0001997,AC00074,CREW1542,Cabin Crew,2026-01-29 23:01:41,2026-01-30 07:01:41,MEL,Completed
CR0000176,FL0001675,AC00079,CREW1297,Cabin Crew,2026-04-18 13:13:10,2026-04-18 15:56:10,HKG,Completed
CR0000177,FL0001279,AC00038,CREW1173,Maintenance Observer,2026-06-28 09:33:26,2026-06-28 17:05:26,FRA,Completed
CR0000178,FL0000100,AC00031,CREW1021,First Officer,2026-02-12 08:34:44,2026-02-12 15:47:44,COK,Completed
CR0000179,FL0000739,AC00053,CREW1327,Captain,2026-04-08 14:10:54,2026-04-09 01:28:54,AMS,Completed
CR0000180,FL0000793,AC00060,CREW1610,Cabin Manager,2026-05-02 23:05:32,2026-05-03 03:03:32,MAD,Assigned
CR0000181,FL0001264,AC00074,CREW1777,Maintenance Observer,2026-01-18 10:32:13,2026-01-18 20:25:13,YVR,Standby
CR0000182,FL0001381,AC00054,CREW1632,Captain,2026-02-09 23:34:20,2026-02-10 12:48:20,HYD,Completed
CR0000183,FL0001249,AC00054,CREW1429,Captain,2026-03-10 19:47:34,2026-03-11 08:21:34,MAA,Completed
CR0000184,FL0000156,AC00077,CREW1591,Maintenance Observer,2026-02-19 12:16:49,2026-02-19 23:09:49,MAD,Completed
CR0000185,FL0001438,AC00031,CREW1064,Cabin Crew,2026-06-20 07:22:48,2026-06-20 15:49:48,BBI,Assigned
CR0000186,FL0001421,AC00039,CREW1370,Cabin Crew,2026-02-01 00:03:54,2026-02-01 10:04:54,CDG,Assigned
CR0000187,FL0000562,AC00007,CREW1502,Maintenance Observer,2026-02-25 16:11:19,2026-02-26 00:13:19,PAT,Completed
CR0000188,FL0001628,AC00047,CREW1671,Maintenance Observer,2026-04-16 04:59:25,2026-04-16 07:14:25,PNQ,Assigned
CR0000189,FL0000228,AC00040,CREW1507,Maintenance Observer,2026-03-15 09:47:13,2026-03-15 15:16:13,BOM,Completed
CR0000190,FL0001521,AC00058,CREW1451,Cabin Manager,2026-05-16 05:42:38,2026-05-16 14:12:38,KUL,Completed
CR0000191,FL0001097,AC00069,CREW1237,Maintenance Observer,2026-04-01 12:42:01,2026-04-02 00:31:01,DXB,Completed
CR0000192,FL0001351,AC00014,CREW1531,First Officer,2026-04-01 02:11:13,2026-04-01 13:50:13,YVR,Assigned
CR0000193,FL0000682,AC00073,CREW1728,Maintenance Observer,2026-05-31 07:17:11,2026-05-31 09:48:11,HYD,Completed
CR0000194,FL0001914,AC00028,CREW1717,Maintenance Observer,2026-04-09 19:57:03,2026-04-10 05:16:03,YVR,Assigned
CR0000195,FL0002000,AC00035,CREW1445,First Officer,2026-02-21 01:22:11,2026-02-21 06:15:11,CCU,Completed
CR0000196,FL0000287,AC00074,CREW1232,Captain,2026-03-20 16:42:42,2026-03-20 22:14:42,SFO,Completed
CR0000197,FL0001278,AC00071,CREW1435,Cabin Manager,2026-02-05 14:14:13,2026-02-05 20:53:13,CCU,Completed
CR0000198,FL0000191,AC00050,CREW1679,First Officer,2026-03-22 16:36:02,2026-03-23 04:32:02,BKK,Assigned
CR0000199,FL0001626,AC00030,CREW1083,Cabin Manager,2026-06-18 01:06:14,2026-06-18 11:51:14,JFK,Completed
CR0000200,FL0001550,AC00015,CREW1412,Cabin Manager,2026-01-29 17:36:03,2026-01-30 01:54:03,AUH,Assigned
CR0000201,FL0001530,AC00046,CREW1121,Cabin Crew,2026-03-30 15:26:35,2026-03-31 06:05:35,JAI,Completed
CR0000202,FL0001281,AC00043,CREW1578,Captain,2026-05-27 09:53:35,2026-05-27 12:10:35,MEL,Completed
CR0000203,FL0001955,AC00060,CREW1266,First Officer,2026-06-16 02:27:45,2026-06-16 15:19:45,BOM,Completed
CR0000204,FL0001480,AC00037,CREW1192,Cabin Crew,2026-01-16 01:39:50,2026-01-16 11:55:50,AUH,Completed
CR0000205,FL0000243,AC00070,CREW1796,Cabin Manager,2026-02-22 09:31:34,2026-02-22 13:14:34,AMD,Completed
CR0000206,FL0000270,AC00016,CREW1307,Captain,2026-04-23 10:21:31,2026-04-23 13:37:31,KUL,Assigned
CR0000207,FL0000603,AC00061,CREW1458,Maintenance Observer,2026-02-11 11:36:17,2026-02-11 18:42:17,HYD,Standby
CR0000208,FL0000568,AC00040,CREW1541,Cabin Crew,2026-04-30 12:47:45,2026-04-30 23:48:45,IXR,Assigned
CR0000209,FL0001195,AC00070,CREW1543,Cabin Manager,2026-04-03 18:45:50,2026-04-04 05:32:50,BOM,Assigned
CR0000210,FL0000216,AC00035,CREW1111,Cabin Manager,2026-04-19 18:16:27,2026-04-19 22:27:27,BOM,Completed
CR0000211,FL0000811,AC00018,CREW1337,First Officer,2026-06-16 09:05:42,2026-06-16 17:26:42,DEL,Completed
CR0000212,FL0000063,AC00012,CREW1684,Cabin Manager,2026-06-13 13:19:11,2026-06-13 15:13:11,LHR,Completed
CR0000213,FL0001741,AC00034,CREW1345,Cabin Crew,2026-04-12 15:46:23,2026-04-12 22:32:23,AUH,Completed
CR0000214,FL0001282,AC00062,CREW1591,First Officer,2026-06-03 11:52:41,2026-06-03 16:08:41,IXR,Assigned
CR0000215,FL0000127,AC00072,CREW1214,Cabin Manager,2026-01-08 03:31:25,2026-01-08 08:29:25,BLR,Completed
